Tên dự án,Giá,Diện tích,Loại nhà,Vị trí,Phòng ngủ,Nhà vệ sinh,Ngày đăng,Trang
"BÁN GẤP CHUNG CƯ KIM VĂN KIM LŨ , DT 74M2 , TẦNG 8 , MT 6M ,...",3.7 Tỷ,74 M²,Căn Hộ Chung Cư,Kđt Kim Văn Kim Lũ,3 Phòng ngủ,2 WC,"2/4/2025, lúc: 17 giờ 58 phút",700
NHỈNH 6 TỶ NHÀ PHỐ BẰNG LIỆT OTO ĐỖ DT 40M2 X 5 TẦNG LONG LA...,6.8 Tỷ,40 M²,Nhà Trong Ngõ,Quận Hoàng Mai,4 Phòng ngủ,5 WC,"2/4/2025, lúc: 17 giờ 58 phút",700
"CẦN BÁN NHÀ PHỐ BẰNG LIỆT , Q.HOÀNG MAI , DT 34M2 , 5 TẦNG ...",6.79 Tỷ,34 M²,Nhà Trong Ngõ,Quận Hoàng Mai,4 Phòng ngủ,5 WC,"2/4/2025, lúc: 17 giờ 58 phút",700
TÔI BÁN NHÀ HOÀNG VĂN THÁI DIỆN TÍCH 51M2 6 TẦNG THANG MÁY K...,15.8 Tỷ,51 M²,Nhà Mặt Phố,Quận Thanh Xuân,6 Phòng ngủ,6 WC,"2/4/2025, lúc: 17 giờ 58 phút",700
"NHÀ PHÂN LÔ PHỐ YÊN LẠC, Q.HBT ,GARA OTO ,THANG MÁY ,DT 60M2...",18.8 Tỷ,60 M²,Nhà Mặt Phố,Quận Hai Bà Trưng,5 Phòng ngủ,4 WC,"2/4/2025, lúc: 17 giờ 58 phút",700
NHÀ ĐỊNH CÔNG THƯỢNG Q HOÀNG MAI DT 40M2 X 5 TẦNG MT 4 5M GI...,6.4 Tỷ,40 M²,Nhà Trong Ngõ,Quận Hoàng Mai,3 Phòng ngủ,3 WC,"2/4/2025, lúc: 17 giờ 58 phút",700
"NHÀ NGÕ 18 ĐỊNH CÔNG THƯỢNG , DT 42M2 , 4 TẦNG , MT 4M , 10M...",285.6 Triệu,42 M²,Nhà Trong Ngõ,Định Công,4 Phòng ngủ,4 WC,"2/4/2025, lúc: 17 giờ 58 phút",700
"BÁN NHÀ PHỐ ĐỊNH CÔNG , , DT 60M2 X 3 TẦNG , MT 4.2M , GẦN ...",7.5 Tỷ,60 M²,Nhà Trong Ngõ,Định Công,3 Phòng ngủ,3 WC,"2/4/2025, lúc: 17 giờ 58 phút",700
"CHỈ 7.5 TỶ , NHÀ KINH DOANH PHỐ ĐỊNH CÔNG HẠ , 6 TẦNG THANG ...",7.5 Tỷ,30 M²,Nhà Mặt Phố,Quận Hoàng Mai,5 Phòng ngủ,5 WC,"2/4/2025, lúc: 17 giờ 58 phút",700
BÁN NHÀ PHỐ ĐỊNH CÔNG OTO ĐỖ CỬA KINH DOANH DT 46M2 X 4 TẦNG...,8.8 Tỷ,46 M²,Nhà Mặt Phố,Định Công,4 Phòng ngủ,4 WC,"2/4/2025, lúc: 17 giờ 58 phút",700
"CẦN BÁN NHÀ PHỐ KIM GIANG , DIỆN TÍCH 40M2 , 5 TẦNG , MT 4M ...",6.8 Tỷ,40 M²,Nhà Trong Ngõ,Đường Kim Giang,4 Phòng ngủ,4 WC,"2/4/2025, lúc: 17 giờ 58 phút",700
"BÁN GẤP NHÀ PHỐ ĐẠI TỪ , Q,HOÀNG MAI , DT 35M2, 6 TẦNG , MT ...",6.7 Tỷ,35 M²,"Nhà Trọ, Phòng Trọ",Đường Đại Từ,9 Phòng ngủ,5 WC,"2/4/2025, lúc: 17 giờ 58 phút",700
"BÁN LÔ ĐẤT VỊ TRÍ CỰC ĐẸP TẠI ĐÔNG NGẠC CHỈ VỚI 4,85 TỶ",4.85 Tỷ,57 M²,Nhà Đất Thổ Cư,Đường Đông Ngạc,,,"2/4/2025, lúc: 17 giờ 38 phút",700
"GỬI CÁC CÔ CHÚ MUỐN MUA NHÀ THANG MÁY CON HỌC ĐH BƯU CHÍNH, ...",10.3 Tỷ,40 M²,Nhà Đất Thổ Cư,Quận Hà Đông,,,"2/4/2025, lúc: 16 giờ 37 phút",700
"💥 NHỈNH 7TỶ NHÀ Ở CỔ NHUẾ BTL . 5TẦNG. MT 4,2M GẦN PHỐ ÔTÔ...",79 Tỷ,38 M²,Nhà Đất Thổ Cư,Quận Bắc Từ Liêm,,,"2/4/2025, lúc: 16 giờ 20 phút",700
CĂN HUỲNH THÚC KHÁNG VỊ TRÍ ĐẸP NHẤT PHỐ 58M2 - 6 TẦNG - 5M ...,32 Tỷ,58 M²,Nhà Trong Ngõ,Quận Đống Đa,4 Phòng ngủ,5 WC,"2/4/2025, lúc: 16 giờ 9 phút",700
"BÁN CĂN HỘ 2PN VINHOMES D CAPITALE 88M2, SHLD, GIÁ CHỈ 8 TỶ",8 Tỷ,88 M²,Căn Hộ Chung Cư,Chung Cư Vinhomes Trần Duy Hưng,2 Phòng ngủ,2 WC,"2/4/2025, lúc: 16 giờ 7 phút",700
"ĐẤT THÔN KIÊU KỴ, KHUÔN ĐẤT VUÔNG VẮN, GIÁ CHỈ 2.8 TỶ. LH: 0...",2.8 Tỷ,50 M²,Nhà Đất Thổ Cư,Đặng Kiêu Kỵ,,,"2/4/2025, lúc: 16 giờ 5 phút",700
"SIÊU HIẾM, NHÀ TÂN XUÂN, LÔ GÓC, Ô TÔ VÀO NHÀ, 45M², 6,X TỶ",6.8 Tỷ,45 M²,Nhà Đất Thổ Cư,Quận Bắc Từ Liêm,4 Phòng ngủ,3 WC,"2/4/2025, lúc: 16 giờ 5 phút",700
BÁN TÒA CHUNG CƯ MINI CỔ NHUẾ - 2 MẶT THOÁNG - 9 PHÒNG CHO T...,7.3 Tỷ,40 M²,Nhà Đất Thổ Cư,Quận Bắc Từ Liêm,9 Phòng ngủ,,"2/4/2025, lúc: 16 giờ 5 phút",700
"CỔ NHUẾ - KHU B TRƯỜNG ĐH MỎ, NHÀ PHÂN LÔ, 40M2, NHỈNH 6 TỶ",6.5 Tỷ,40 M²,Nhà Đất Thổ Cư,Quận Bắc Từ Liêm,1 Phòng ngủ,1 WC,"2/4/2025, lúc: 16 giờ 4 phút",701
"🔥 BÁN NHÀ KINH DOANH SẦM UẤT - TRUNG TÂM THÔN SÁP MAI, VÕNG...",16.8 Tỷ,121 M²,Nhà Mặt Phố,Huyện Đông Anh,,,"2/4/2025, lúc: 15 giờ 51 phút",701
BÁN CĂN HỘ GOLDEN LAND NGUYỄN TRÃI 135M2 3PN 2VS 8.5 TỶ CĂN ...,8.5 Tỷ,135 M²,Căn Hộ Chung Cư,Chung Cư Golden Land,3 Phòng ngủ,2 WC,"2/4/2025, lúc: 15 giờ 43 phút",701
"BÁN CĂN HỘ 2PN Ở IMPERIA GARDEN, 80M2 FULL ĐỒ GIÁ TỐT",7.5 Tỷ,80 M²,Căn Hộ Chung Cư,Chung Cư Imperia Garden,2 Phòng ngủ,2 WC,"2/4/2025, lúc: 15 giờ 39 phút",701
BA ĐÌNH NHÀ ĐẸP 68M2 X MẶT TIỀN 4M - GẦN Ô TÔ - NGÕ THÔNG TH...,Thỏa Thuận,68 M²,Nhà Đất Thổ Cư,Quận Ba Đình,,,"2/4/2025, lúc: 15 giờ 32 phút",701
"BÁN NHÀ PHÂN LÔ VỈA HÈ, KINH DOANH TẠI NGUYỄN XIỂN, THANH XU...",17 Tỷ,50 M²,Nhà Trong Ngõ,Nguyễn Xiển,,,"2/4/2025, lúc: 15 giờ 31 phút",701
BA ĐÌNH 47M2 X MẶT TIỀN 4.1M - NGÕ THÔNG THOÁNG.,Thỏa Thuận,47 M²,Nhà Đất Thổ Cư,Quận Ba Đình,,,"2/4/2025, lúc: 15 giờ 28 phút",701
CHÍNH CHỦ CẦN TIỀN BÁN GẤP CĂN 77M2 VIEW HỒ KHAI SƠN GIÁ 5.3...,5.38 Tỷ,77 M²,Căn Hộ Chung Cư,Khai Sơn City,2 Phòng ngủ,2 WC,"2/4/2025, lúc: 15 giờ 24 phút",701
✅ BÁN NHÀ GIÁ RẺ SO VỚI KHU VỰC ĐƯỜNG MỚI THỊNH LIỆT: 88M* 1...,11.8 Tỷ,88 M²,Nhà Mặt Phố,Thịnh Liệt,1 Phòng ngủ,1 WC,"2/4/2025, lúc: 15 giờ 5 phút",701
CHỦ GỬI BÁN - 103M2 LẠI THƯỢNG - RẺ NHẤT THỊ TRƯỜNG CHỈ 2.1 ...,2.1 Tỷ,103 M²,Nhà Đất Thổ Cư,Huyện Thạch Thất,,,"2/4/2025, lúc: 15 giờ 3 phút",701
"BÁN 100M2 ĐẤT FULL THỔ CƯ. CHỈ 1,9 TỶ TẠI MINH TRÍ SÓC SƠN H...",1.9 Tỷ,100 M²,Nhà Đất Thổ Cư,Huyện Sóc Sơn,,,"2/4/2025, lúc: 15 giờ 3 phút",701
SIÊU PHẨM 5 TẦNG Ô TÔ TRÁNH PHỐ TRẦN ĐIỀN GIÁ NHỈNH 17 TỶ Ở...,17 Tỷ,55 M²,Nhà Trong Ngõ,Quận Hoàng Mai,,,"2/4/2025, lúc: 14 giờ 53 phút",701
"BÁN NHÀ NINH SỞ - THƯỜNG TÍN, 460M, GIÁ CHÀO 4.5 TỶ",4.5 Tỷ,460 M²,Nhà Đất Thổ Cư,Huyện Thường Tín,,,"2/4/2025, lúc: 14 giờ 45 phút",701
"NGUYỄN CHÍ THANH 40M2, 5 TẦNG - Ô TÔ TRÁNH - KINH DOANH 15,8...",15.8 Tỷ,40 M²,Nhà Trong Ngõ,Nguyễn Chí Thanh,4 Phòng ngủ,4 WC,"2/4/2025, lúc: 14 giờ 40 phút",701
"BIỆT THỰ ANLAC GREEN SYMPHONY VỊ TRÍ KIM CƯƠNG, GIÁ TỐT NHẤT...",26 Tỷ,30 M²,"Nhà Biệt Thự, Liền Kề",An Lạc Green Symphony,4 Phòng ngủ,3 WC,"2/4/2025, lúc: 14 giờ 47 phút",701
"BÁN ĐẤT TẠI KIÊU KỴ, 2,8 TỶ, 50M2, GIÁ TỐT BÁN GẤP",2.8 Tỷ,50 M²,Nhà Đất Thổ Cư,Huyện Gia Lâm,,,"2/4/2025, lúc: 14 giờ 26 phút",701
BÁN CĂN HỘ CHUNG CƯ E3 TRUNG HÒA CẦU GIẤY 80M2 2PN2WC GIÁ R...,5 Tỷ,80 M²,Căn Hộ Chung Cư,Chung Cư G3ab,2 Phòng ngủ,2 WC,"2/4/2025, lúc: 14 giờ 25 phút",701
"BÁN NHÀ MẶT PHỐ NGUYỄN BỈNH KHIÊM, HAI BÀ TRƯNG 162M2 MT 7.1...",97 Tỷ,162 M²,Nhà Mặt Phố,Nguyễn Bỉnh Khiêm,,,"2/4/2025, lúc: 14 giờ 25 phút",701
BÁN CĂN HỘ TÒA CẢNH SÁT 113 CẦU TRUNG KÍNH 120M2 3PN 2WC ĐỦ ...,7 Tỷ,120 M²,Căn Hộ Chung Cư,Chung Cư Cs 113 Trung Kính,4 Phòng ngủ,2 WC,"2/4/2025, lúc: 14 giờ 23 phút",701
"BÁN CĂN HỘ 34T HOÀNG ĐẠO THÚY 140M2 3PN 2WC CĂN GÓC, ĐỦ ĐỒ G...",8 Tỷ,140 M²,Căn Hộ Chung Cư,Kđt Trung HòA Nhân ChíNh,3 Phòng ngủ,2 WC,"2/4/2025, lúc: 14 giờ 21 phút",701
BÁN CĂN HỘ E3 VŨ PHẠM HÀM CẦU GIẤY 80M2 2PN 2WC GIÁ 5.* TỶ ...,5 Tỷ,80 M²,Căn Hộ Chung Cư,Chung Cư G3ab,2 Phòng ngủ,2 WC,"2/4/2025, lúc: 14 giờ 20 phút",702
"CẦN BÁN GẤP CĂN DUPLEX KHU VỰC TRUNG TÂM QUẬN THANH XUÂN, 4P...",13 Tỷ,145 M²,Căn Hộ Chung Cư,Viha Complex,4 Phòng ngủ,4 WC,"2/4/2025, lúc: 14 giờ 19 phút",702
"NHÀ ĐẸP GẦN HỒ PHỐ QUAN NHÂN 50M, MẶT TIỀN 5M GIÁ NHỈNH 12 T...",12.5 Tỷ,50 M²,Nhà Trong Ngõ,Quận Thanh Xuân,,,"2/4/2025, lúc: 14 giờ 19 phút",702
BÁN CĂN HỘ TÒA CT5 MỸ ĐÌNH SÔNG ĐÀ 133M2 4PN 2WC NHÀ ĐẸP ĐỦ ...,8 Tỷ,133 M²,Căn Hộ Chung Cư,Kđt Mỹ Đình Sông Đà,4 Phòng ngủ,2 WC,"2/4/2025, lúc: 14 giờ 17 phút",702
🥳.BÁN 638M2 ĐẤT.. GIÁ 18TR/M2TỶ TẠI MINH PHÚ SÓC SƠN. HN.,11.48 Tỷ,638 M²,"Nhà Xưởng, Mặt Bằng, Kho Bãi",Huyện Sóc Sơn,,,"2/4/2025, lúc: 14 giờ 4 phút",702
BÁN CĂN HỘ N4 KHU ĐÔ THỊ TRUNG HÒA NHÂN CHÍNH 120M2 4PN 2WC ...,7 Tỷ,120 M²,Căn Hộ Chung Cư,Kđt Trung HòA Nhân ChíNh,4 Phòng ngủ,2 WC,"2/4/2025, lúc: 14 giờ 2 phút",702
BÁN CĂN HỘ 34T HOÀNG ĐẠO THÚY KĐT TRUNG HÒA NHÂN CHÍNH 140M...,8 Tỷ,140 M²,Căn Hộ Chung Cư,Kđt Trung HòA Nhân ChíNh,3 Phòng ngủ,2 WC,"2/4/2025, lúc: 14 giờ 0 phút",702
BÁN CĂN HỘ TÒA CẢNH SÁT 113 - TRUNG KÍNH 120M2 3PN 2WC NHÀ M...,7 Tỷ,120 M²,Căn Hộ Chung Cư,Chung Cư Cs 113 Trung Kính,3 Phòng ngủ,2 WC,"2/4/2025, lúc: 13 giờ 59 phút",702
BÁN CHUNG CƯ MINI 7 TẦNG THANG MÁY - 50M RA MẶT PHỐ,18.3 Tỷ,63 M²,Căn Hộ Chung Cư,Quận Thanh Xuân,11 Phòng ngủ,11 WC,"2/4/2025, lúc: 13 giờ 17 phút",702
"VĂN HƯƠNG, ĐỐNG ĐA. 10M2 X 3 TẦNG. SIÊU ĐẸP- CÁCH MẶT NGÕ 10...",1.5 Tỷ,10 M²,Nhà Trong Ngõ,Tôn Đức Thắng,2 Phòng ngủ,2 WC,"2/4/2025, lúc: 13 giờ 9 phút",702
BÁN MẢNH ĐẤT ĐƯỜNG PHÚ MỸ - MỸ ĐÌNH - 56M2 NGÕ THÔNG RỘNG K...,10.3 Tỷ,56 M²,Nhà Đất Thổ Cư,Quận Nam Từ Liêm,,,"2/4/2025, lúc: 12 giờ 58 phút",702
💥NHÀ SIÊU PHẨM VÕ CHÍ CÔNG - 5 TẦNG - THANG MÁY - TẶNG FULL...,120 Tỷ,38 M²,Nhà Đất Thổ Cư,Quận Tây Hồ,,,"2/4/2025, lúc: 12 giờ 46 phút",702
"NHỈNH 3 TỶ ĐÃ CÓ NGAY 1 CĂN NHÀ LÔ GÓC 25M2 X 3 TẦNG, NĂM GI...",3 Tỷ,25 M²,Nhà Trong Ngõ,Khâm Thiên,2 Phòng ngủ,2 WC,"2/4/2025, lúc: 12 giờ 28 phút",702
HIẾM HOI BÁN! CĂN HỘ 4PN- KHU ĐÔ THỊ MỄ TRÌ HẠ:,6.7 Tỷ,112 M²,Căn Hộ Chung Cư,Kđt Mễ Trì Hạ,,,"2/4/2025, lúc: 12 giờ 35 phút",702
"CẮT LỖ 300TRIỆU, LÔ 67M2 KHOANG MÁI - ĐỒNG TRÚC",3.2 Tỷ,67 M²,Nhà Đất Thổ Cư,Khu Công Nghiệp Công Nghệ Cao 2 Hòa Lạc,,,"2/4/2025, lúc: 11 giờ 39 phút",702
"BÁN ĐẤT ĐẤU GIÁ ĐẠI ÁNG THANH TRÌ .60.2M, 6.4 TỶ",6.4 Tỷ,60 M²,Nhà Đất Thổ Cư,Huyện Thanh Trì,,,"2/4/2025, lúc: 11 giờ 34 phút",702
"BÁN TÒA VĂN PHÒNG 9 TẦNG MẶT PHỐ NGUYỄN VIẾT XUÂN,DT 93M2, M...",35 Tỷ,93 M²,Nhà Mặt Phố,Nguyễn Viết Xuân,2 Phòng ngủ,9 WC,"2/4/2025, lúc: 11 giờ 31 phút",702
CHÍNH CHỦ GỬI BÁN DT45M2 4T GIÁ ĐẦU TƯ CHỈ 7.9TỶ PHỐ CẦU GIẤ...,7.9 Tỷ,45 M²,Nhà Trong Ngõ,Quận Cầu Giấy,4 Phòng ngủ,3 WC,"2/4/2025, lúc: 11 giờ 23 phút",702
"CẮT LỖ 1 TỶ, 1016,4M2 TẠI HÒA TRÚC - HÒA THẠCH",11 Tỷ,1016.4 M²,Nhà Đất Thổ Cư,Huyện Quốc Oai,,,"2/4/2025, lúc: 11 giờ 20 phút",702
