Địa phương,Năm,Diện tích(Km2),Dân số trung bình,Mật độ dân số (Người/km2)
Đồng Tháp,2011,3377.0,1653200.0,489.6
Đồng Tháp,2012,3377.0,1646200.0,487.5
Đồng Tháp,2013,3378.8,1639200.0,485.1
Đồng Tháp,2014,3378.8,1632400.0,483.1
Đồng Tháp,2015,3378.8,1625600.0,481.1
Đồng Tháp,2016,3384.0,1619000.0,478.4
Đồng Tháp,2017,3383.8,1612500.0,476.5
Đồng Tháp,2018,3383.8,1606100.0,474.6
Đồng Tháp,2019,3383.8,1598800.0,472.0
Đồng Tháp,2020,3383.8,1600000.0,473.0
Đồng Tháp,2021,3383.8,1601300.0,473.0
Đồng Tháp,2022,3383.8,1600200.0,473.0
Đồng Tháp,2023,3383.8,1600200.0,473.1
Đồng Nai,2011,5907.2,2661800.0,450.6
Đồng Nai,2012,5907.2,2719000.0,460.3
Đồng Nai,2013,5907.2,2771400.0,469.2
Đồng Nai,2014,5907.2,2831300.0,479.3
Đồng Nai,2015,5907.2,2890000.0,489.2
Đồng Nai,2016,5863.6,2951400.0,503.3
Đồng Nai,2017,5863.6,3004900.0,512.5
Đồng Nai,2018,5863.6,3055100.0,521.0
Đồng Nai,2019,5863.6,3113700.0,531.0
Đồng Nai,2020,5863.6,3177400.0,542.0
Đồng Nai,2021,5863.6,3169100.0,540.0
Đồng Nai,2022,5863.6,3255800.0,555.0
Đồng Nai,2023,5863.6,3310900.0,564.6
Đắk Nông,2011,6515.6,512700.00000000006,78.7
Đắk Nông,2012,6515.6,529400.0,81.2
Đắk Nông,2013,6515.6,548100.0,84.1
Đắk Nông,2014,6515.6,565000.0,86.7
Đắk Nông,2015,6515.6,580500.0,89.1
Đắk Nông,2016,6509.3,594400.0,91.3
Đắk Nông,2017,6509.3,604900.0,92.9
Đắk Nông,2018,6509.3,615400.0,94.5
Đắk Nông,2019,6509.3,625800.0,96.0
Đắk Nông,2020,6509.3,637900.0,98.0
Đắk Nông,2021,6509.3,664400.0,102.0
Đắk Nông,2022,6509.3,670600.0,103.0
Đắk Nông,2023,6509.3,681900.0,104.8
Đắk Lắk,2011,13125.4,1760400.0,134.1
Đắk Lắk,2012,13125.4,1777300.0,135.4
Đắk Lắk,2013,13125.4,1794600.0,136.7
Đắk Lắk,2014,13125.4,1805800.0,137.6
Đắk Lắk,2015,13125.4,1820100.0,138.7
Đắk Lắk,2016,13030.5,1836400.0,140.9
Đắk Lắk,2017,13030.5,1850300.0,142.0
Đắk Lắk,2018,13030.5,1861500.0,142.9
Đắk Lắk,2019,13030.5,1872600.0,144.0
Đắk Lắk,2020,13030.5,1886900.0,144.0
Đắk Lắk,2021,13030.5,1909000.0,146.0
Đắk Lắk,2022,13030.5,1918400.0,147.0
Đắk Lắk,2023,13030.5,1931500.0,147.8
Đà Nẵng,2011,1285.4,968700.0,753.6
Đà Nẵng,2012,1285.4,996300.0,775.1
Đà Nẵng,2013,1285.4,1017300.0,791.5
Đà Nẵng,2014,1285.4,1033900.0000000001,804.4
Đà Nẵng,2015,1285.4,1056300.0,821.8
Đà Nẵng,2016,1284.7,1080300.0,840.9
Đà Nẵng,2017,1284.9,1097800.0,854.4
Đà Nẵng,2018,1284.9,1114400.0,867.3
Đà Nẵng,2019,1284.9,1141100.0,888.0
Đà Nẵng,2020,1284.9,1169500.0,910.0
Đà Nẵng,2021,1284.9,1195500.0,931.0
Đà Nẵng,2022,1284.9,1220200.0,950.0
Đà Nẵng,2023,1284.9,1245200.0,969.2
Điện Biên,2011,9562.9,512799.99999999994,53.6
Điện Biên,2012,9562.9,523900.0,54.8
Điện Biên,2013,9562.9,535000.0,55.9
Điện Biên,2014,9562.9,546100.0,57.1
Điện Biên,2015,9562.9,557100.0,58.3
Điện Biên,2016,9540.9,568300.0,59.6
Điện Biên,2017,9541.3,579400.0,60.7
Điện Biên,2018,9541.2,590500.0,61.9
Điện Biên,2019,9541.2,601700.0,63.0
Điện Biên,2020,9541.2,613500.0,64.0
Điện Biên,2021,9541.2,625100.0,66.0
Điện Biên,2022,9541.2,635900.0,67.0
Điện Biên,2023,9541.2,646200.0,67.7
