Nganh_nghe,Cong_viec,Muc_luong
Công nghệ thông tin,Kỹ sư phần mềm (Software Engineer),0-2 năm kinh nghiệm: 10-20 triệu VND/tháng
Công nghệ thông tin,Kỹ sư phần mềm (Software Engineer),3-5 năm kinh nghiệm: 20-35 triệu VND/tháng
Công nghệ thông tin,Kỹ sư phần mềm (Software Engineer),Trên 5 năm kinh nghiệm: 35-60 triệu VND/tháng hoặc cao hơn
Công nghệ thông tin,Chuyên gia an ninh mạng (Cybersecurity Specialist),0-2 năm kinh nghiệm: 15-25 triệu VND/tháng
Công nghệ thông tin,Chuyên gia an ninh mạng (Cybersecurity Specialist),3-5 năm kinh nghiệm: 25-40 triệu VND/tháng
Công nghệ thông tin,Chuyên gia an ninh mạng (Cybersecurity Specialist),Trên 5 năm kinh nghiệm: 40-70 triệu VND/tháng hoặc cao hơn
Công nghệ thông tin,Nhà phát triển ứng dụng di động (Mobile App Developer),0-2 năm kinh nghiệm: 12-22 triệu VND/tháng
Công nghệ thông tin,Nhà phát triển ứng dụng di động (Mobile App Developer),3-5 năm kinh nghiệm: 22-35 triệu VND/tháng
Công nghệ thông tin,Nhà phát triển ứng dụng di động (Mobile App Developer),Trên 5 năm kinh nghiệm: 35-55 triệu VND/tháng hoặc cao hơn
Công nghệ thông tin,Nhà phân tích dữ liệu (Data Analyst),0-2 năm kinh nghiệm: 10-20 triệu VND/tháng
Công nghệ thông tin,Nhà phân tích dữ liệu (Data Analyst),3-5 năm kinh nghiệm: 20-30 triệu VND/tháng
Công nghệ thông tin,Nhà phân tích dữ liệu (Data Analyst),Trên 5 năm kinh nghiệm: 30-50 triệu VND/tháng hoặc cao hơn
Công nghệ thông tin,Chuyên viên Trí tuệ Nhân tạo (AI Specialist),0-2 năm kinh nghiệm: 15-25 triệu VND/tháng
Công nghệ thông tin,Chuyên viên Trí tuệ Nhân tạo (AI Specialist),3-5 năm kinh nghiệm: 25-45 triệu VND/tháng
Công nghệ thông tin,Chuyên viên Trí tuệ Nhân tạo (AI Specialist),Trên 5 năm kinh nghiệm: 45-70 triệu VND/tháng hoặc cao hơn
Công nghệ thông tin,Kỹ sư DevOps (DevOps Engineer),0-2 năm kinh nghiệm: 15-25 triệu VND/tháng
Công nghệ thông tin,Kỹ sư DevOps (DevOps Engineer),3-5 năm kinh nghiệm: 25-40 triệu VND/tháng
Công nghệ thông tin,Kỹ sư DevOps (DevOps Engineer),Trên 5 năm kinh nghiệm: 40-65 triệu VND/tháng hoặc cao hơn
Marketing – Digital Marketing,Digital Marketing,Fresher/Intern: 2 – 7 triệu/tháng
Marketing – Digital Marketing,Digital Marketing,Junior: 7 – 12 triệu/tháng
Marketing – Digital Marketing,Digital Marketing,Senior: 12 – 25 triệu/tháng
Marketing – Digital Marketing,SEO – Tối ưu hóa công cụ tìm kiếm,"Fresher/Intern: 2,5 – 7 triệu/tháng"
Marketing – Digital Marketing,SEO – Tối ưu hóa công cụ tìm kiếm,Junior: 7 – 13 triệu/tháng
Marketing – Digital Marketing,SEO – Tối ưu hóa công cụ tìm kiếm,Senior: 13 – 20 triệu/tháng
Marketing – Digital Marketing,Trade Marketing,"Fresher/Intern: 2 – 6,5 triệu/tháng"
Marketing – Digital Marketing,Trade Marketing,"Junior: 6,5 – 10 triệu/tháng"
Marketing – Digital Marketing,Trade Marketing,Senior: 10- 21 triệu/tháng
Marketing – Digital Marketing,Copywriter,Fresher/Intern: 2 – 6 triệu/tháng
Marketing – Digital Marketing,Copywriter,Junior: 6 – 10 triệu/tháng
Marketing – Digital Marketing,Copywriter,Senior: 10 – 20 triệu/tháng
Marketing – Digital Marketing,Chuyên viên thương hiệu,Fresher/Intern: 4 – 8 triệu/tháng
Marketing – Digital Marketing,Chuyên viên thương hiệu,Junior: 8 – 12 triệu/tháng
Marketing – Digital Marketing,Chuyên viên thương hiệu,Senior: 12 – 23 triệu/tháng
Marketing – Digital Marketing,"Chuyên viên tiếp thị, tư vấn",Fresher/Intern: 3 – 7 triệu/tháng
Marketing – Digital Marketing,"Chuyên viên tiếp thị, tư vấn",Junior: 7 – 11 triệu/tháng
Marketing – Digital Marketing,"Chuyên viên tiếp thị, tư vấn",Senior: 11 – 18 triệu/tháng
