Nganh_nghe,Cong_viec,Trinh_do/Vi_Tri,Lương_TB(triệu VND)
Công nghệ thông tin,Kỹ sư phần mềm (Software Engineer),0-2 năm kinh nghiệm,15.0
Công nghệ thông tin,Kỹ sư phần mềm (Software Engineer),3-5 năm kinh nghiệm,27.5
Công nghệ thông tin,Kỹ sư phần mềm (Software Engineer),trên 5 năm kinh nghiệm,47.5
Công nghệ thông tin,Chuyên gia an ninh mạng (Cybersecurity Specialist),0-2 năm kinh nghiệm,20.0
Công nghệ thông tin,Chuyên gia an ninh mạng (Cybersecurity Specialist),3-5 năm kinh nghiệm,32.5
Công nghệ thông tin,Chuyên gia an ninh mạng (Cybersecurity Specialist),trên 5 năm kinh nghiệm,55.0
Công nghệ thông tin,Nhà phát triển ứng dụng di động (Mobile App Developer),0-2 năm kinh nghiệm,17.0
Công nghệ thông tin,Nhà phát triển ứng dụng di động (Mobile App Developer),3-5 năm kinh nghiệm,28.5
Công nghệ thông tin,Nhà phát triển ứng dụng di động (Mobile App Developer),trên 5 năm kinh nghiệm,45.0
Công nghệ thông tin,Nhà phân tích dữ liệu (Data Analyst),0-2 năm kinh nghiệm,15.0
Công nghệ thông tin,Nhà phân tích dữ liệu (Data Analyst),3-5 năm kinh nghiệm,25.0
Công nghệ thông tin,Nhà phân tích dữ liệu (Data Analyst),trên 5 năm kinh nghiệm,40.0
Công nghệ thông tin,Chuyên viên Trí tuệ Nhân tạo (AI Specialist),0-2 năm kinh nghiệm,20.0
Công nghệ thông tin,Chuyên viên Trí tuệ Nhân tạo (AI Specialist),3-5 năm kinh nghiệm,35.0
Công nghệ thông tin,Chuyên viên Trí tuệ Nhân tạo (AI Specialist),trên 5 năm kinh nghiệm,57.5
Công nghệ thông tin,Kỹ sư DevOps (DevOps Engineer),0-2 năm kinh nghiệm,20.0
Công nghệ thông tin,Kỹ sư DevOps (DevOps Engineer),3-5 năm kinh nghiệm,32.5
Công nghệ thông tin,Kỹ sư DevOps (DevOps Engineer),trên 5 năm kinh nghiệm,52.5
Marketing – Digital Marketing,Digital Marketing,0-2 Năm,4.5
Marketing – Digital Marketing,Digital Marketing,3-5 Năm,9.5
Marketing – Digital Marketing,Digital Marketing,>5 Năm,18.5
Marketing – Digital Marketing,SEO – Tối ưu hóa công cụ tìm kiếm,0-2 Năm,4.75
Marketing – Digital Marketing,SEO – Tối ưu hóa công cụ tìm kiếm,3-5 Năm,10.0
